prompt_id,run,mode,title,intent_labels,selected_tools,fallback,latency_s,completed,tools_actually_called,match,accuracy_pass,prompt,response_chars,response_excerpt
A2,1,on,Count features,count,"count_features,catalog_summary",False,28.18,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A2,2,on,Count features,count,"count_features,catalog_summary",False,22.73,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A2,3,on,Count features,count,"count_features,catalog_summary",False,23.3,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A4,1,on,Feature missing documentation,"doc_status,list","list_features,count_features",False,27.79,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,62,"Hiện tại, không có feature nào được tìm thấy chưa có tài liệu."
A4,2,on,Feature missing documentation,"doc_status,list","list_features,count_features",False,11.02,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,62,"Hiện tại, không có feature nào trong catalog chưa có tài liệu."
A4,3,on,Feature missing documentation,"doc_status,list","list_features,count_features",False,8.01,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,970,Đây là thông tin cho bạn:  Showing 20 of 80 matching features: - client_logs.address_source (large_string) [doc] - client_logs.connected_time (int32) [doc] - cl
A6,1,on,Group membership,group,"get_group,list_groups",False,13.57,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
A6,2,on,Group membership,group,"get_group,list_groups",False,20.61,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
A6,3,on,Group membership,group,"get_group,list_groups",False,18.76,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
B1,1,on,Use case recommendation,recommend,suggest_features,False,258.56,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1772,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các feature sau:  **Các Feature Hiện có được đề xuất:**  *   `client_logs.rs"
B1,2,on,Use case recommendation,recommend,suggest_features,False,78.18,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1708,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các nhóm feature sau:  **Các Feature Hiện Có Quan Trọng:**  1.  **`client_lo"
B1,3,on,Use case recommendation,recommend,suggest_features,False,88.84,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1835,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, đây là các gợi ý về feature:  **Các Feature Hiện Có Đề Xuất:**  1.  **`client_logs.rssi`"
B7,1,on,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,38.13,True,search_features,True,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",397,"Bạn chưa cung cấp bất kỳ feature nào liên quan đến ""network"" trong catalog.  Để gợi ý các feature tiềm năng cho mô hình churn, tôi cần xem xét các feature hiện "
B7,2,on,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,45.27,True,search_features,True,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",497,"Tôi đã tìm kiếm các features hiện có liên quan đến ""network"" nhưng không tìm thấy kết quả nào.  Để tôi có thể gợi ý các features tiềm năng cho mô hình churn, vu"
B7,3,on,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,48.99,True,search_features,True,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",522,"Tôi đã tìm kiếm các features hiện có liên quan đến ""network"" nhưng không tìm thấy kết quả nào.  Để tôi có thể gợi ý các features phù hợp cho mô hình churn, vui "
