prompt_id,run,mode,title,intent_labels,selected_tools,fallback,latency_s,completed,tools_actually_called,match,accuracy_pass,prompt,response_chars,response_excerpt
A2,1,off,Count features,count,"count_features,catalog_summary",False,43.22,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A2,2,off,Count features,count,"count_features,catalog_summary",False,30.08,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A2,3,off,Count features,count,"count_features,catalog_summary",False,28.42,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A4,1,off,Feature missing documentation,"doc_status,list","list_features,count_features",False,11.19,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,44,Không tìm thấy feature nào chưa có tài liệu.
A4,2,off,Feature missing documentation,"doc_status,list","list_features,count_features",False,26.84,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,110,"Dựa trên yêu cầu của bạn, tôi đã kiểm tra và không tìm thấy bất kỳ feature nào chưa có tài liệu trong catalog."
A4,3,off,Feature missing documentation,"doc_status,list","list_features,count_features",False,22.35,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,44,Không tìm thấy feature nào chưa có tài liệu.
A6,1,off,Group membership,group,"get_group,list_groups",False,18.03,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
A6,2,off,Group membership,group,"get_group,list_groups",False,17.14,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
A6,3,off,Group membership,group,"get_group,list_groups",False,19.24,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
B1,1,off,Use case recommendation,recommend,suggest_features,False,249.33,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1890,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các feature sau:  **Các Feature Hiện Có Đã Được Đánh Giá:**  *   `client_log"
B1,2,off,Use case recommendation,recommend,suggest_features,False,66.7,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1831,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các feature sau:  **Các Feature Hiện có nên được xem xét:**  1.  **`client_l"
B1,3,off,Use case recommendation,recommend,suggest_features,False,60.66,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1447,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các feature sau:  **Các Feature Hiện Có Nên Sử Dụng:**  1.  **`client_logs.r"
B7,1,off,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,244.13,True,suggest_features,False,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",1815,"Dựa trên các features hiện có về mạng và thiết bị, tôi đề xuất bạn nên cân nhắc thêm các features sau cho mô hình churn:  **Các features hiện có được đề xuất:**"
B7,2,off,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,259.27,True,suggest_features,False,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",1893,"Dựa trên các features hiện có về mạng, tôi đề xuất bạn nên cân nhắc thêm các features sau cho mô hình churn:  **Features hiện có được đề xuất:** *   `client_log"
B7,3,off,Feature engineering suggestion,(fallback),"search_features,list_features,get_feature_detail,catalog_summary",True,256.12,True,suggest_features,False,n/a,"Từ features hiện có về network, có thể engineer thêm features gì cho churn model?",1914,"Dựa trên các features mạng hiện có, tôi đề xuất bạn nên cân nhắc thêm các features sau để xây dựng mô hình churn:  **Các features hiện có được đề xuất:** *   `c"
