prompt_id,run,mode,title,intent_labels,selected_tools,fallback,latency_s,completed,tools_actually_called,match,accuracy_pass,prompt,response_chars,response_excerpt
A1,1,on,List sources,source_list,list_sources,False,9.44,True,list_sources,True,n/a,Liệt kê tất cả data sources hiện có,328,Đây là thông tin cho bạn:  - demand_v2: /home/nxank4/work/featcat/data-test/demand_v2_clean_combined.parquet (local/parquet) - device_logs: /home/nxank4/work/fe
A2,1,on,Count features,count,"count_features,catalog_summary",False,28.41,True,catalog_summary,True,pass,Catalog có bao nhiêu features?,186,"Đây là thông tin cho bạn:  Catalog: 80 features, 3 sources, 1 groups Doc coverage: 80/80 (100.0%) Drift status: healthy: 80 Lifecycle: draft: 80, reviewed: 0, c"
A3,1,on,Find specific feature,search,search_features,False,21.47,True,search_features,True,n/a,Tìm feature liên quan đến cpu_usage,87,"Xin lỗi, tôi không tìm thấy bất kỳ feature nào liên quan đến `cpu_usage` trong catalog."
A4,1,on,Feature missing documentation,"doc_status,list","list_features,count_features",False,25.47,True,list_features,True,pass,Cho tôi danh sách feature chưa có tài liệu,68,"Hiện tại, không tìm thấy feature nào chưa có tài liệu trong catalog."
A5,1,on,Feature with critical drift,drift,get_drift_report,False,27.53,True,get_drift_report,True,n/a,Có feature nào đang bị drift nặng không?,166,"Hiện tại, không có feature nào trong catalog đang báo cáo tình trạng drift nghiêm trọng (critical). Tất cả 80 feature được kiểm tra đều đang ở trạng thái **heal"
A6,1,on,Group membership,group,"get_group,list_groups",False,6.58,True,get_group,True,pass,Group device có những feature nào?,963,Đây là thông tin cho bạn:  Group: device   Description: (none)   Owner: (none)   Members: 23     - device_logs.bandwidth_2g (int32)     - device_logs.bandwidth_
A7,1,on,Source breakdown,source_breakdown,"features_by_source,list_sources",False,19.39,True,features_by_source,True,n/a,Source nào có nhiều feature nhất?,190,Đây là thông tin cho bạn:  Features per source (highest first): - demand_v2: 34 features (34 documented) - client_logs: 23 features (23 documented) - device_log
A8,1,on,Feature detail,detail,get_feature_detail,False,19.77,True,get_feature_detail,True,n/a,Cho tôi thông tin chi tiết về feature device_logs.cpu_load,534,Đây là thông tin cho bạn:  Feature: device_logs.cpu_load   Column: cpu_load   Dtype: float   Description: (none)   Owner: (none)   Tags: (none)   Source ID: 42c
A9,1,on,Empty result handling,search,search_features,False,24.87,True,search_features,True,n/a,Tìm feature tên xyzabcnonsense,51,"Không tìm thấy feature nào có tên ""xyzabcnonsense""."
A10,1,on,English query,"source_list,list","list_sources,list_features",False,10.58,True,list_features,True,n/a,List all features in the device_logs source,802,Đây là thông tin cho bạn:  Showing 20 of 23 matching features: - device_logs.bandwidth_2g (int32) - device_logs.bandwidth_5g (int32) - device_logs.channel_2g (i
B1,1,on,Use case recommendation,recommend,suggest_features,False,76.63,True,suggest_features,True,n/a,Tôi muốn xây model dự đoán churn cho khách hàng telecom. Feature nào nên dùng?,1675,"Dựa trên yêu cầu xây dựng mô hình dự đoán churn cho khách hàng telecom, tôi đề xuất các nhóm feature sau:  **Các Feature Hiện Có Quan Trọng:**  1.  **`client_lo"
B2,1,on,Network anomaly use case,recommend,suggest_features,False,235.63,True,suggest_features,True,n/a,"Cho use case detect anomaly trong network performance, gợi ý features và approach",2397,"Chào bạn, dựa trên use case **""detect anomaly trong network performance""**, đây là các gợi ý về features và approach:  ### 💡 Gợi ý Features (Features được đề xu"
B3,1,on,Comparison query,compare,compare_features,False,87.17,True,compare_features,True,n/a,"So sánh feature device_logs.cpu_load và device_logs.cpu_temp, chúng khác gì?",1237,Dưới đây là so sánh chi tiết giữa hai feature `device_logs.cpu_load` và `device_logs.cpu_temp`:  | Đặc điểm | `device_logs.cpu_load` | `device_logs.cpu_temp` | 
B4,1,on,Duplicate detection,duplicate,"find_duplicate_pairs,find_similar_features",False,66.58,True,find_duplicate_pairs,True,n/a,Có feature nào nghi ngờ duplicate không?,503,Có 14 cặp feature được nghi ngờ là trùng lặp dựa trên ngưỡng 0.70.  Các cặp trùng lặp nổi bật bao gồm: *   `client_logs.source_ip` và `device_logs.source_ip` (Đ
B5,1,on,Drift root cause hypothesis,drift,get_drift_report,False,53.59,True,get_drift_report,True,n/a,"Feature client_logs.rssi đang drift, nguyên nhân có thể là gì?",884,"Dựa trên báo cáo drift, feature `client_logs.rssi` hiện đang được đánh dấu là **healthy** (tốt).  Điều này có nghĩa là hiện tại, hệ thống giám sát không phát hi"
B6,1,on,Health summary,summary,catalog_summary,False,19.17,True,catalog_summary,True,n/a,Tóm tắt tình trạng catalog hiện tại,185,"Đây là thông tin cho bạn:  Catalog: 95 features, 3 sources, 1 groups Doc coverage: 80/95 (84.2%) Drift status: healthy: 80 Lifecycle: draft: 95, reviewed: 0, ce"
